countrycode,year,sector,PPP_y,PPP_y_inverse
AUS,2017,agr,1.340949,1
AUS,2017,man,1.637613,0.82
AUS,2017,min,2.39272,0.56
BEL,2017,agr,0.83658,1
BEL,2017,man,1.183787,0.71
BEL,2017,min,1.222451,0.68
CZE,2017,agr,19.30136,1
CZE,2017,man,24.88389,0.78
CZE,2017,min,32.95863,0.59
DEU,2017,agr,0.8490338,1
DEU,2017,man,0.9963028,0.85
DEU,2017,min,1.044257,0.81
DNK,2017,agr,7.059937,1
DNK,2017,man,9.843369,0.72
DNK,2017,min,5.847887,1.21
ESP,2017,agr,0.6908851,1
ESP,2017,man,0.9662313,0.72
ESP,2017,min,1.21149,0.57
FIN,2017,agr,0.9808629,1
FIN,2017,man,1.175094,0.83
FIN,2017,min,1.095008,0.9
FRA,2017,agr,0.9531653,1
FRA,2017,man,1.015016,0.94
FRA,2017,min,1.035285,0.92
GBR,2017,agr,0.8089139,1
GBR,2017,man,0.7632608,1.06
GBR,2017,min,0.6831052,1.18
GRC,2017,agr,1.009839,1
GRC,2017,man,1.052306,0.96
GRC,2017,min,1.496725,0.67
HUN,2017,agr,220.5206,1
HUN,2017,man,284.1352,0.78
HUN,2017,min,388.4864,0.57
IRL,2017,agr,1.079585,1
IRL,2017,man,1.055926,1.02
IRL,2017,min,1.245475,0.87
ITA,2017,agr,0.9771662,1
ITA,2017,man,1.070245,0.91
ITA,2017,min,0.8023552,1.22
JPN,2017,agr,314.7627,1
JPN,2017,man,131.8285,2.39
JPN,2017,min,206.062,1.53
KOR,2017,agr,2666.476,1
KOR,2017,man,1642.606,1.62
KOR,2017,min,2245.596,1.19
LUX,2017,agr,1.135254,1
LUX,2017,man,1.222212,0.93
LUX,2017,min,1.504399,0.75
NLD,2017,agr,0.8589898,1
NLD,2017,man,1.094973,0.78
NLD,2017,min,0.8971122,0.96
POL,2017,agr,2.80286,1
POL,2017,man,3.416324,0.82
POL,2017,min,5.466917,0.51
PRT,2017,agr,0.7673184,1
PRT,2017,man,1.147102,0.67
PRT,2017,min,1.24832,0.61
SVK,2017,agr,0.7376346,1
SVK,2017,man,1.019694,0.72
SVK,2017,min,1.121628,0.66
SWE,2017,agr,9.027777,1
SWE,2017,man,11.17279,0.81
SWE,2017,min,13.63721,0.66
USA,2017,agr,1,1
USA,2017,man,1,1
USA,2017,min,1,1
